"pos","chr","Treatment","meanSelCoef","pval_max","pval_mean","number","adjustP","sig"
1977424,"2L","Con",0.101694486393022,0,0,293058,0,"<0.05"
1978179,"2L","Con",0.114990708250521,0,0,293073,0,"<0.05"
1982761,"2L","Con",0.201951356486209,0,0,293186,0,"<0.05"
1990963,"2L","Con",0.113624663488522,0,0,293477,0,"<0.05"
2041231,"2L","Con",0.129513361031234,0,0,294502,0,"<0.05"
2044903,"2L","Con",0.128571505767101,0,0,294532,0,"<0.05"
2109915,"2L","Con",0.236501067327728,0,0,295816,0,"<0.05"
2110452,"2L","Con",0.18188321623521,0,0,295857,0,"<0.05"
2125610,"2L","Con",0.122914161302913,0,0,296069,0,"<0.05"
2190774,"2L","Con",0.187273743709043,0,0,296941,0,"<0.05"
2242417,"2L","Con",0.0979984906267957,0,0,297644,0,"<0.05"
2242582,"2L","Con",0.103849904280548,0,0,297648,0,"<0.05"
2242588,"2L","Con",0.102596436277012,0,0,297649,0,"<0.05"
2242690,"2L","Con",0.102133172342118,0,0,297652,0,"<0.05"
2242808,"2L","Con",0.109760625852551,0,0,297654,0,"<0.05"
2266319,"2L","Con",0.226853254870657,0,0,298243,0,"<0.05"
2290338,"2L","Con",0.111355898651692,0,0,298624,0,"<0.05"
2355860,"2L","Con",0.164450656221652,0,0,299964,0,"<0.05"
2387714,"2L","Con",0.116540229476486,0,0,300631,0,"<0.05"
2408318,"2L","Con",0.161354834847664,0,0,301166,0,"<0.05"
2427426,"2L","Con",0.121226664306796,0,0,301506,0,"<0.05"
2458185,"2L","Con",0.175973260837184,0,0,301992,0,"<0.05"
2461127,"2L","Con",0.100319774825687,0,0,302068,0,"<0.05"
2476436,"2L","Con",0.158969730849703,0,0,302294,0,"<0.05"
2481026,"2L","Con",0.200830978657911,0,0,302342,0,"<0.05"
2486792,"2L","Con",0.110858361402137,0,0,302456,0,"<0.05"
2501511,"2L","Con",0.105316389925309,0,0,302705,0,"<0.05"
2501532,"2L","Con",0.10797081898607,0,0,302709,0,"<0.05"
2533298,"2L","Con",0.137725527511873,0,0,303453,0,"<0.05"
2539508,"2L","Con",0.163833103542336,0,0,303577,0,"<0.05"
2546108,"2L","Con",0.163237755731651,0,0,303790,0,"<0.05"
2546155,"2L","Con",0.131750304655589,0,0,303794,0,"<0.05"
2546163,"2L","Con",0.136062523494034,0,0,303795,0,"<0.05"
2546180,"2L","Con",0.139837703732437,0,0,303797,0,"<0.05"
2546239,"2L","Con",0.191711829213779,0,0,303800,0,"<0.05"
2546243,"2L","Con",0.218385398033488,0,0,303801,0,"<0.05"
2546919,"2L","Con",0.172118509474035,0,0,303819,0,"<0.05"
2550977,"2L","Con",0.101115873411841,0,0,303950,0,"<0.05"
2581508,"2L","Con",0.172347569502308,0,0,304608,0,"<0.05"
2581696,"2L","Con",0.150255588823047,0,0,304612,0,"<0.05"
2717411,"2L","Con",0.213621495695749,0,0,307909,0,"<0.05"
2721346,"2L","Con",0.13516345173778,0,0,308023,0,"<0.05"
2721365,"2L","Con",0.131455693790681,0,0,308024,0,"<0.05"
2721896,"2L","Con",0.175327358650605,0,0,308040,0,"<0.05"
2727771,"2L","Con",0.204963421615946,0,0,308213,0,"<0.05"
2730904,"2L","Con",0.177871427227298,0,0,308306,0,"<0.05"
2741071,"2L","Con",0.205814600481227,0,0,308550,0,"<0.05"
2793799,"2L","Con",0.223131055143321,0,0,309402,0,"<0.05"
2793811,"2L","Con",0.236606562894144,0,0,309403,0,"<0.05"
2793826,"2L","Con",0.140042065439824,0,0,309405,0,"<0.05"
2794576,"2L","Con",0.1700764232942,0,0,309424,0,"<0.05"
2796061,"2L","Con",0.153945865926196,0,0,309479,0,"<0.05"
2799409,"2L","Con",0.216558946607792,0,0,309651,0,"<0.05"
2800975,"2L","Con",0.226772216191005,0,0,309708,0,"<0.05"
2811119,"2L","Con",0.221244928951566,0,0,309964,0,"<0.05"
2811708,"2L","Con",0.157670119660736,0,0,309974,0,"<0.05"
2818377,"2L","Con",0.217308759815515,0,0,310163,0,"<0.05"
2837983,"2L","Con",0.116969391932391,0,0,310726,0,"<0.05"
2843339,"2L","Con",0.218331854235887,0,0,310922,0,"<0.05"
2843354,"2L","Con",0.221008952857117,0,0,310923,0,"<0.05"
2853722,"2L","Con",0.114696332064942,0,0,311303,0,"<0.05"
2875720,"2L","Con",0.118223346463164,0,0,311890,0,"<0.05"
2884143,"2L","Con",0.107061802706743,0,0,312141,0,"<0.05"
2892836,"2L","Con",0.204521292461072,0,0,312289,0,"<0.05"
2942513,"2L","Con",0.140914048045239,0,0,313517,0,"<0.05"
2942570,"2L","Con",0.189945654569695,0,0,313518,0,"<0.05"
2942754,"2L","Con",0.199406567846508,0,0,313520,0,"<0.05"
2943127,"2L","Con",0.194409982480848,0,0,313529,0,"<0.05"
2946298,"2L","Con",0.1506500852117,0,0,313579,0,"<0.05"
2950431,"2L","Con",0.132043679197579,0,0,313654,0,"<0.05"
2956370,"2L","Con",0.186299481482789,0,0,313711,0,"<0.05"
2956417,"2L","Con",0.170942496745579,0,0,313713,0,"<0.05"
2960693,"2L","Con",0.210668989438518,0,0,313782,0,"<0.05"
2961026,"2L","Con",0.164539240456084,0,0,313786,0,"<0.05"
2961039,"2L","Con",0.21269687713761,0,0,313787,0,"<0.05"
2961051,"2L","Con",0.217682998540969,0,0,313788,0,"<0.05"
2961109,"2L","Con",0.127968022693802,0,0,313789,0,"<0.05"
2961140,"2L","Con",0.145959180249872,0,0,313791,0,"<0.05"
2962394,"2L","Con",0.167695978654341,0,0,313807,0,"<0.05"
2962406,"2L","Con",0.213388782196885,0,0,313808,0,"<0.05"
2962514,"2L","Con",0.242881199667899,0,0,313809,0,"<0.05"
2963184,"2L","Con",0.175126043249688,0,0,313821,0,"<0.05"
2963197,"2L","Con",0.182588420189167,0,0,313822,0,"<0.05"
2964082,"2L","Con",0.206874489522008,0,0,313830,0,"<0.05"
2969766,"2L","Con",0.206071186545559,0,0,313895,0,"<0.05"
3029156,"2L","Con",0.138187459012306,0,0,314864,0,"<0.05"
3040736,"2L","Con",0.231626058893593,0,0,315006,0,"<0.05"
3041942,"2L","Con",0.151837580219389,0,0,315020,0,"<0.05"
3043005,"2L","Con",0.141762497010223,0,0,315035,0,"<0.05"
3071244,"2L","Con",0.210912272906972,0,0,315557,0,"<0.05"
3100836,"2L","Con",0.217785120407645,0,0,316081,0,"<0.05"
3101035,"2L","Con",0.193221238202542,0,0,316093,0,"<0.05"
3101091,"2L","Con",0.187952443076713,0,0,316099,0,"<0.05"
3104577,"2L","Con",0.166048567769143,0,0,316156,0,"<0.05"
3111833,"2L","Con",0.158508328979956,0,0,316325,0,"<0.05"
3117668,"2L","Con",0.17332567672804,0,0,316457,0,"<0.05"
3119567,"2L","Con",0.144722257763304,0,0,316515,0,"<0.05"
3120117,"2L","Con",0.229143785863152,0,0,316537,0,"<0.05"
3122388,"2L","Con",0.190233525150496,0,0,316609,0,"<0.05"
3125781,"2L","Con",0.164774011573305,0,0,316720,0,"<0.05"
3151781,"2L","Con",0.128405429555536,0,0,317436,0,"<0.05"
3154406,"2L","Con",0.172068001510123,0,0,317541,0,"<0.05"
3156417,"2L","Con",0.224570215217482,0,0,317612,0,"<0.05"
3160690,"2L","Con",0.216707237698611,0,0,317735,0,"<0.05"
3186328,"2L","Con",0.162647837880139,0,0,318280,0,"<0.05"
3190468,"2L","Con",0.122169375198544,0,0,318366,0,"<0.05"
3190832,"2L","Con",0.141279927660054,0,0,318370,0,"<0.05"
3190836,"2L","Con",0.135864891517021,0,0,318371,0,"<0.05"
3197191,"2L","Con",0.100261261328976,0,0,318548,0,"<0.05"
3197346,"2L","Con",0.146008242731194,0,0,318557,0,"<0.05"
3197353,"2L","Con",0.147077246017491,0,0,318558,0,"<0.05"
3197430,"2L","Con",0.139088488005501,0,0,318563,0,"<0.05"
3197535,"2L","Con",0.106145657154052,0,0,318570,0,"<0.05"
3199405,"2L","Con",0.0903138466838838,0,0,318611,0,"<0.05"
3217383,"2L","Con",0.153332604915896,0,0,318906,0,"<0.05"
3219355,"2L","Con",0.0822534979081475,0,0,318951,0,"<0.05"
3219473,"2L","Con",0.117786037976094,0,0,318957,0,"<0.05"
3219478,"2L","Con",0.14363566164321,0,0,318958,0,"<0.05"
3220961,"2L","Con",0.0973385713702727,0,0,318993,0,"<0.05"
3221743,"2L","Con",0.114534607510871,0,0,319016,0,"<0.05"
3222277,"2L","Con",0.166349808585346,0,0,319039,0,"<0.05"
3224493,"2L","Con",0.128115671997833,0,0,319092,0,"<0.05"
3224817,"2L","Con",0.131428023120128,0,0,319102,0,"<0.05"
3224861,"2L","Con",0.159219764346095,0,0,319106,0,"<0.05"
3225710,"2L","Con",0.116191021459913,0,0,319119,0,"<0.05"
3226532,"2L","Con",0.14137449123624,0,0,319147,0,"<0.05"
3228651,"2L","Con",0.18021445863594,0,0,319222,0,"<0.05"
3232743,"2L","Con",0.247228455041461,0,0,319332,0,"<0.05"
3233338,"2L","Con",0.100789079362384,0,0,319342,0,"<0.05"
3233493,"2L","Con",0.130251642226373,0,0,319349,0,"<0.05"
3235329,"2L","Con",0.152789882798991,0,0,319396,0,"<0.05"
3235361,"2L","Con",0.156031436813835,0,0,319398,0,"<0.05"
3237772,"2L","Con",0.137940384046308,0,0,319465,0,"<0.05"
3237774,"2L","Con",0.14029226781074,0,0,319466,0,"<0.05"
3237935,"2L","Con",0.189237949291152,0,0,319469,0,"<0.05"
3238492,"2L","Con",0.130025742127328,0,0,319486,0,"<0.05"
3238535,"2L","Con",0.146250557681151,0,0,319487,0,"<0.05"
3238540,"2L","Con",0.143820924495272,0,0,319488,0,"<0.05"
3240276,"2L","Con",0.176586186586525,0,0,319561,0,"<0.05"
3241279,"2L","Con",0.170894764823767,0,0,319598,0,"<0.05"
3241280,"2L","Con",0.170213460781591,0,0,319599,0,"<0.05"
3241377,"2L","Con",0.175096970260094,0,0,319602,0,"<0.05"
3241581,"2L","Con",0.173777964589563,0,0,319608,0,"<0.05"
3241617,"2L","Con",0.167166576781116,0,0,319610,0,"<0.05"
3242285,"2L","Con",0.197957900825977,0,0,319630,0,"<0.05"
3242583,"2L","Con",0.195522492959774,0,0,319636,0,"<0.05"
3242597,"2L","Con",0.20268286479913,0,0,319639,0,"<0.05"
3242642,"2L","Con",0.214855657170296,0,0,319643,0,"<0.05"
3243295,"2L","Con",0.210043100579408,0,0,319655,0,"<0.05"
3243309,"2L","Con",0.18196486019166,0,0,319657,0,"<0.05"
3243653,"2L","Con",0.197412929686783,0,0,319662,0,"<0.05"
3243673,"2L","Con",0.22050814431718,0,0,319663,0,"<0.05"
3243728,"2L","Con",0.217628633854603,0,0,319665,0,"<0.05"
3243747,"2L","Con",0.212147465687513,0,0,319666,0,"<0.05"
3243938,"2L","Con",0.215428001078319,0,0,319669,0,"<0.05"
3244133,"2L","Con",0.139177477284161,0,0,319674,0,"<0.05"
3244201,"2L","Con",0.149886609758411,0,0,319675,0,"<0.05"
3244760,"2L","Con",0.183082460671135,0,0,319686,0,"<0.05"
3248761,"2L","Con",0.162058181371487,0,0,319772,0,"<0.05"
3250060,"2L","Con",0.123497759913511,0,0,319804,0,"<0.05"
3250560,"2L","Con",0.123679127364975,0,0,319819,0,"<0.05"
3266606,"2L","Con",0.135346939111884,0,0,320060,0,"<0.05"
3266641,"2L","Con",0.140732176455844,0,0,320062,0,"<0.05"
3272418,"2L","Con",0.157753959818517,0,0,320252,0,"<0.05"
3272446,"2L","Con",0.159048775514035,0,0,320253,0,"<0.05"
3273001,"2L","Con",0.245589940292756,0,0,320277,0,"<0.05"
3273010,"2L","Con",0.226412506559641,0,0,320278,0,"<0.05"
3274954,"2L","Con",0.195596900007882,0,0,320348,0,"<0.05"
3274977,"2L","Con",0.189543851301644,0,0,320349,0,"<0.05"
3275489,"2L","Con",0.14994217921648,0,0,320367,0,"<0.05"
3278606,"2L","Con",0.131371501418351,0,0,320462,0,"<0.05"
3279325,"2L","Con",0.160445449957272,0,0,320479,0,"<0.05"
3279340,"2L","Con",0.164251578183845,0,0,320480,0,"<0.05"
3279409,"2L","Con",0.193198838409576,0,0,320481,0,"<0.05"
3279625,"2L","Con",0.149101900713808,0,0,320487,0,"<0.05"
3279758,"2L","Con",0.139329106078807,0,0,320490,0,"<0.05"
3279866,"2L","Con",0.133043773395002,0,0,320493,0,"<0.05"
3279968,"2L","Con",0.171154756672036,0,0,320499,0,"<0.05"
3279980,"2L","Con",0.185998111736048,0,0,320500,0,"<0.05"
3280004,"2L","Con",0.181289477114516,0,0,320503,0,"<0.05"
3280021,"2L","Con",0.173158503020755,0,0,320504,0,"<0.05"
3280031,"2L","Con",0.166356336115387,0,0,320505,0,"<0.05"
3280097,"2L","Con",0.166761906241575,0,0,320509,0,"<0.05"
3283681,"2L","Con",0.20861593489071,0,0,320611,0,"<0.05"
3284423,"2L","Con",0.165142776236771,0,0,320623,0,"<0.05"
3284430,"2L","Con",0.142955554363329,0,0,320624,0,"<0.05"
3284736,"2L","Con",0.179941240870447,0,0,320639,0,"<0.05"
3284758,"2L","Con",0.176237871575326,0,0,320640,0,"<0.05"
3284762,"2L","Con",0.190300172280772,0,0,320641,0,"<0.05"
3284774,"2L","Con",0.185317568857625,0,0,320642,0,"<0.05"
3284901,"2L","Con",0.185179338924619,0,0,320649,0,"<0.05"
3284970,"2L","Con",0.147360394246475,0,0,320651,0,"<0.05"
3285366,"2L","Con",0.227955948947479,0,0,320662,0,"<0.05"
3285546,"2L","Con",0.22907574634049,0,0,320665,0,"<0.05"
3285655,"2L","Con",0.166482966142137,0,0,320672,0,"<0.05"
3285697,"2L","Con",0.195679142492281,0,0,320675,0,"<0.05"
3286857,"2L","Con",0.139847843895004,0,0,320703,0,"<0.05"
3288757,"2L","Con",0.189430496339897,0,0,320752,0,"<0.05"
3289220,"2L","Con",0.126961444898631,0,0,320761,0,"<0.05"
3291990,"2L","Con",0.193658867021103,0,0,320818,0,"<0.05"
3292658,"2L","Con",0.139487065631143,0,0,320848,0,"<0.05"
3292709,"2L","Con",0.18153746527068,0,0,320853,0,"<0.05"
3293799,"2L","Con",0.14142610134706,0,0,320877,0,"<0.05"
3293879,"2L","Con",0.125426403275102,0,0,320880,0,"<0.05"
3294932,"2L","Con",0.120683973631946,0,0,320899,0,"<0.05"
3301761,"2L","Con",0.164133709323006,0,0,321042,0,"<0.05"
3307646,"2L","Con",0.145005104226462,0,0,321160,0,"<0.05"
3310900,"2L","Con",0.125998000511851,0,0,321227,0,"<0.05"
3310939,"2L","Con",0.106174180955917,0,0,321230,0,"<0.05"
3311797,"2L","Con",0.210465124255092,0,0,321253,0,"<0.05"
3312638,"2L","Con",0.179912374389594,0,0,321284,0,"<0.05"
3313566,"2L","Con",0.175606160998312,0,0,321307,0,"<0.05"
3313614,"2L","Con",0.15917637257156,0,0,321308,0,"<0.05"
3313626,"2L","Con",0.123460124361362,0,0,321309,0,"<0.05"
3313647,"2L","Con",0.211638183358149,0,0,321310,0,"<0.05"
3313648,"2L","Con",0.120565524716709,0,0,321311,0,"<0.05"
3313663,"2L","Con",0.179836617691059,0,0,321313,0,"<0.05"
3313690,"2L","Con",0.179879909750674,0,0,321315,0,"<0.05"
3313694,"2L","Con",0.183999315748014,0,0,321317,0,"<0.05"
3313867,"2L","Con",0.145932710948879,0,0,321321,0,"<0.05"
3313890,"2L","Con",0.113468809508892,0,0,321324,0,"<0.05"
3313892,"2L","Con",0.112082499695517,0,0,321325,0,"<0.05"
3314830,"2L","Con",0.10576063663787,0,0,321356,0,"<0.05"
3316492,"2L","Con",0.253443508971743,0,0,321390,0,"<0.05"
3322271,"2L","Con",0.134433423600564,0,0,321489,0,"<0.05"
3322277,"2L","Con",0.127597186942438,0,0,321490,0,"<0.05"
3322297,"2L","Con",0.132333637488536,0,0,321491,0,"<0.05"
3322427,"2L","Con",0.241751574823968,0,0,321493,0,"<0.05"
3322632,"2L","Con",0.148506508561387,0,0,321504,0,"<0.05"
3322769,"2L","Con",0.159684881795336,0,0,321507,0,"<0.05"
3325795,"2L","Con",0.12309406127981,0,0,321572,0,"<0.05"
3329645,"2L","Con",0.106098897980395,0,0,321692,0,"<0.05"
3337612,"2L","Con",0.106100804309152,0,0,321879,0,"<0.05"
3337618,"2L","Con",0.108047674356242,0,0,321880,0,"<0.05"
3337627,"2L","Con",0.141856586159345,0,0,321882,0,"<0.05"
3338148,"2L","Con",0.116083391057387,0,0,321903,0,"<0.05"
3344272,"2L","Con",0.103010591128691,0,0,322019,0,"<0.05"
3345258,"2L","Con",0.164925323449781,0,0,322049,0,"<0.05"
3346954,"2L","Con",0.210452175212452,0,0,322088,0,"<0.05"
3347608,"2L","Con",0.199406567846508,0,0,322099,0,"<0.05"
3349309,"2L","Con",0.217391381649976,0,0,322164,0,"<0.05"
3355609,"2L","Con",0.117606250776134,0,0,322282,0,"<0.05"
3357275,"2L","Con",0.120664711147002,0,0,322307,0,"<0.05"
3360569,"2L","Con",0.111848410055648,0,0,322348,0,"<0.05"
3361997,"2L","Con",0.127705980481826,0,0,322379,0,"<0.05"
3365282,"2L","Con",0.192937246697627,0,0,322439,0,"<0.05"
3366724,"2L","Con",0.171023077500868,0,0,322466,0,"<0.05"
3367177,"2L","Con",0.15619633960099,0,0,322481,0,"<0.05"
3367181,"2L","Con",0.164629183316693,0,0,322482,0,"<0.05"
3367416,"2L","Con",0.212248243484243,0,0,322489,0,"<0.05"
3368550,"2L","Con",0.164520800513381,0,0,322524,0,"<0.05"
3371190,"2L","Con",0.208380242469076,0,0,322596,0,"<0.05"
3371779,"2L","Con",0.141745323673143,0,0,322611,0,"<0.05"
3371785,"2L","Con",0.193606307016767,0,0,322613,0,"<0.05"
3371865,"2L","Con",0.195623855643998,0,0,322615,0,"<0.05"
3372169,"2L","Con",0.118424453146771,0,0,322623,0,"<0.05"
3372522,"2L","Con",0.142801525192033,0,0,322631,0,"<0.05"
3373390,"2L","Con",0.140518778209617,0,0,322655,0,"<0.05"
3373968,"2L","Con",0.185054705934379,0,0,322685,0,"<0.05"
3373971,"2L","Con",0.20521376409272,0,0,322686,0,"<0.05"
3378123,"2L","Con",0.158977550409179,0,0,322875,0,"<0.05"
3379687,"2L","Con",0.171529165259833,0,0,322928,0,"<0.05"
3379802,"2L","Con",0.132281151879742,0,0,322937,0,"<0.05"
3384959,"2L","Con",0.142081227206157,0,0,323128,0,"<0.05"
3386857,"2L","Con",0.127481071355335,0,0,323189,0,"<0.05"
3386864,"2L","Con",0.138897754190277,0,0,323190,0,"<0.05"
3387045,"2L","Con",0.138122537456857,0,0,323197,0,"<0.05"
3388972,"2L","Con",0.172119879676953,0,0,323288,0,"<0.05"
3390172,"2L","Con",0.234776457182246,0,0,323319,0,"<0.05"
3391339,"2L","Con",0.224727787276263,0,0,323368,0,"<0.05"
3391764,"2L","Con",0.157144730498916,0,0,323388,0,"<0.05"
3391768,"2L","Con",0.100412914520952,0,0,323390,0,"<0.05"
3391772,"2L","Con",0.15263093518732,0,0,323391,0,"<0.05"
3392277,"2L","Con",0.230193079562914,0,0,323401,0,"<0.05"
3396784,"2L","Con",0.144465118501817,0,0,323567,0,"<0.05"
3399118,"2L","Con",0.160225052519239,0,0,323619,0,"<0.05"
3399120,"2L","Con",0.150609502874382,0,0,323620,0,"<0.05"
3399301,"2L","Con",0.171062045017096,0,0,323627,0,"<0.05"
3399410,"2L","Con",0.121274888885045,0,0,323631,0,"<0.05"
3400100,"2L","Con",0.132078069416054,0,0,323643,0,"<0.05"
3400117,"2L","Con",0.229616238611954,0,0,323644,0,"<0.05"
3400174,"2L","Con",0.138925088571992,0,0,323645,0,"<0.05"
3403075,"2L","Con",0.153764395937595,0,0,323758,0,"<0.05"
3406783,"2L","Con",0.177041787420315,0,0,323837,0,"<0.05"
3407029,"2L","Con",0.146989958470511,0,0,323846,0,"<0.05"
3407032,"2L","Con",0.149136433387026,0,0,323847,0,"<0.05"
3407872,"2L","Con",0.0889404252548669,0,0,323880,0,"<0.05"
3410557,"2L","Con",0.141091911949804,0,0,323958,0,"<0.05"
3415384,"2L","Con",0.150314284139232,0,0,324114,0,"<0.05"
3415984,"2L","Con",0.105965301653804,0,0,324132,0,"<0.05"
3418544,"2L","Con",0.163516957741724,0,0,324218,0,"<0.05"
3418551,"2L","Con",0.128539951386938,0,0,324220,0,"<0.05"
3418789,"2L","Con",0.146431157569349,0,0,324229,0,"<0.05"
3418792,"2L","Con",0.145680016318941,0,0,324230,0,"<0.05"
3419092,"2L","Con",0.131267461459315,0,0,324240,0,"<0.05"
3419958,"2L","Con",0.189594612874176,0,0,324266,0,"<0.05"
3419966,"2L","Con",0.180548602318109,0,0,324267,0,"<0.05"
3421576,"2L","Con",0.135350283970045,0,0,324320,0,"<0.05"
3422327,"2L","Con",0.234004404491582,0,0,324343,0,"<0.05"
3429058,"2L","Con",0.206153331474859,0,0,324522,0,"<0.05"
3432730,"2L","Con",0.190643791086201,0,0,324654,0,"<0.05"
3436987,"2L","Con",0.209420894299106,0,0,324823,0,"<0.05"
3438758,"2L","Con",0.162659317313943,0,0,324901,0,"<0.05"
3440663,"2L","Con",0.115460012772535,0,0,325008,0,"<0.05"
3443716,"2L","Con",0.125436590550978,0,0,325108,0,"<0.05"
3447819,"2L","Con",0.204441796021888,0,0,325214,0,"<0.05"
3461501,"2L","Con",0.146425744447684,0,0,325560,0,"<0.05"
3461898,"2L","Con",0.190072044423716,0,0,325577,0,"<0.05"
3462917,"2L","Con",0.197875887324635,0,0,325612,0,"<0.05"
3462918,"2L","Con",0.20372986811991,0,0,325613,0,"<0.05"
3463677,"2L","Con",0.122018151657721,0,0,325632,0,"<0.05"
3463694,"2L","Con",0.134044862971855,0,0,325634,0,"<0.05"
3465565,"2L","Con",0.18463267598822,0,0,325676,0,"<0.05"
3466123,"2L","Con",0.116233345771963,0,0,325687,0,"<0.05"
3466445,"2L","Con",0.132951667986142,0,0,325701,0,"<0.05"
3469577,"2L","Con",0.119792180726107,0,0,325807,0,"<0.05"
3472082,"2L","Con",0.163921892625912,0,0,325913,0,"<0.05"
3472919,"2L","Con",0.138527244081311,0,0,325933,0,"<0.05"
3473051,"2L","Con",0.142166318815185,0,0,325936,0,"<0.05"
3473820,"2L","Con",0.144641770534477,0,0,325949,0,"<0.05"
3473991,"2L","Con",0.129763230948291,0,0,325953,0,"<0.05"
3474109,"2L","Con",0.185107935402605,0,0,325957,0,"<0.05"
3478860,"2L","Con",0.123263331742077,0,0,326086,0,"<0.05"
3478879,"2L","Con",0.13700698653343,0,0,326087,0,"<0.05"
3482828,"2L","Con",0.204753845330464,0,0,326192,0,"<0.05"
3486438,"2L","Con",0.145705873768104,0,0,326274,0,"<0.05"
3486533,"2L","Con",0.13012599533426,0,0,326275,0,"<0.05"
3486861,"2L","Con",0.131598815404543,0,0,326277,0,"<0.05"
3491236,"2L","Con",0.189153872726089,0,0,326393,0,"<0.05"
3491286,"2L","Con",0.225370433308948,0,0,326395,0,"<0.05"
3495560,"2L","Con",0.128408125238726,0,0,326470,0,"<0.05"
3496361,"2L","Con",0.124565123073695,0,0,326484,0,"<0.05"
3496370,"2L","Con",0.1093168873648,0,0,326486,0,"<0.05"
3496456,"2L","Con",0.124776689759587,0,0,326489,0,"<0.05"
3499413,"2L","Con",0.215928598159831,0,0,326539,0,"<0.05"
3499491,"2L","Con",0.150524640730288,0,0,326542,0,"<0.05"
3510693,"2L","Con",0.19261621456914,0,0,326804,0,"<0.05"
3510859,"2L","Con",0.208587710136616,0,0,326808,0,"<0.05"
3512785,"2L","Con",0.148934219092821,0,0,326857,0,"<0.05"
3512788,"2L","Con",0.148255378686593,0,0,326858,0,"<0.05"
3512803,"2L","Con",0.147354348536635,0,0,326859,0,"<0.05"
3512964,"2L","Con",0.15126493373271,0,0,326863,0,"<0.05"
3513282,"2L","Con",0.129220661535426,0,0,326873,0,"<0.05"
3519882,"2L","Con",0.169057771683095,0,0,327020,0,"<0.05"
3522778,"2L","Con",0.184350937034763,0,0,327099,0,"<0.05"
3527083,"2L","Con",0.1181519967597,0,0,327232,0,"<0.05"
3528111,"2L","Con",0.137569874168172,0,0,327265,0,"<0.05"
3528932,"2L","Con",0.21308482623961,0,0,327280,0,"<0.05"
3529108,"2L","Con",0.177462289287151,0,0,327282,0,"<0.05"
3529834,"2L","Con",0.241308088728741,0,0,327298,0,"<0.05"
3529888,"2L","Con",0.235100531373357,0,0,327302,0,"<0.05"
3529893,"2L","Con",0.229160436021653,0,0,327303,0,"<0.05"
3530341,"2L","Con",0.115197279847291,0,0,327309,0,"<0.05"
3530491,"2L","Con",0.232881058200957,0,0,327314,0,"<0.05"
3530643,"2L","Con",0.127151773511075,0,0,327322,0,"<0.05"
3530861,"2L","Con",0.116988676840458,0,0,327331,0,"<0.05"
3531076,"2L","Con",0.1190300894672,0,0,327337,0,"<0.05"
3531766,"2L","Con",0.169010179639769,0,0,327350,0,"<0.05"
3531973,"2L","Con",0.132755219289336,0,0,327353,0,"<0.05"
3531994,"2L","Con",0.125421101709527,0,0,327354,0,"<0.05"
3532009,"2L","Con",0.212436744521605,0,0,327355,0,"<0.05"
3532041,"2L","Con",0.10768163680277,0,0,327358,0,"<0.05"
3532845,"2L","Con",0.181220295700494,0,0,327381,0,"<0.05"
3533575,"2L","Con",0.129482980743119,0,0,327400,0,"<0.05"
3533847,"2L","Con",0.125607368619411,0,0,327408,0,"<0.05"
3533881,"2L","Con",0.10724412714278,0,0,327412,0,"<0.05"
