"position","chr","Effects","mean_p","number","adjustP","logAdjustP"
551122,"X","TreatmentSel:Generation",1.30905140164404e-22,3720,4.17455444743163e-16,15.3793898702038
551809,"X","TreatmentSel:Generation",5.19419216224075e-18,3722,1.65642372518484e-11,10.7808285576655
552176,"X","TreatmentSel:Generation",4.55696167499283e-10,3725,0.00145321143258587,2.83767119414993
553004,"X","TreatmentSel:Generation",6.74522382912346e-10,3730,0.00215104648292841,2.66735020464685
554537,"X","TreatmentSel:Generation",2.21912659964114e-09,3751,0.00707677697324281,2.15016449110044
554772,"X","TreatmentSel:Generation",1.6697811158611e-10,3767,0.000532491862023213,3.2736870250825
554900,"X","TreatmentSel:Generation",2.66710708878735e-10,3770,0.000850538316928614,3.07030611655368
555935,"X","TreatmentSel:Generation",3.50593252839385e-10,3785,0.00111803907855878,2.95154301639071
557374,"X","TreatmentSel:Generation",7.89504580089746e-12,3829,2.51772378986956e-05,4.59899191645026
557513,"X","TreatmentSel:Generation",2.22259103048233e-15,3831,7.08782501547989e-09,8.14948701286897
557516,"X","TreatmentSel:Generation",2.15482444771905e-10,3832,0.000687171792518048,3.16293467601789
559524,"X","TreatmentSel:Generation",4.49160973866337e-10,3869,0.00143237075237196,2.84394455544368
559663,"X","TreatmentSel:Generation",4.76124328063423e-09,3878,0.0151835667319963,1.81862619747394
560352,"X","TreatmentSel:Generation",4.33226088024354e-11,3886,0.000138155452890096,3.85963196913803
560903,"X","TreatmentSel:Generation",8.51546224776515e-10,3888,0.00271557409844251,2.56613834234451
561268,"X","TreatmentSel:Generation",1.16140548231593e-08,3893,0.0370371279186164,1.43136269848735
562971,"X","TreatmentSel:Generation",7.49663022819644e-09,3938,0.0239066938246766,1.6214804804706
563131,"X","TreatmentSel:Generation",3.15273716323555e-11,3939,0.000100540535916609,3.99765880415861
563634,"X","TreatmentSel:Generation",4.49861589630901e-11,3953,0.000143460501044023,3.84326765669956
563840,"X","TreatmentSel:Generation",2.88618293412542e-15,3965,9.20401428746248e-09,8.03602271584419
564079,"X","TreatmentSel:Generation",4.94302506269752e-12,3967,1.57632673807419e-05,4.80235375776322
564793,"X","TreatmentSel:Generation",4.97236897304346e-09,4004,0.0158568448760838,1.79978322239174
566183,"X","TreatmentSel:Generation",1.66330053371799e-10,4024,0.000530425209562241,3.27537584336347
566519,"X","TreatmentSel:Generation",7.57958099360583e-09,4036,0.024171223151961,1.61670137215311
566520,"X","TreatmentSel:Generation",7.0922931325509e-09,4037,0.0226172660613598,1.64555989305442
566523,"X","TreatmentSel:Generation",5.78926471509856e-09,4040,0.0184619188623316,1.73372316203097
566524,"X","TreatmentSel:Generation",1.22266185188472e-08,4041,0.0389905886436555,1.40904020818822
566525,"X","TreatmentSel:Generation",7.20087329013539e-09,4042,0.0229635273152554,1.63896140129619
566526,"X","TreatmentSel:Generation",1.13757437789945e-08,4043,0.0362771559052632,1.44036676855426
566531,"X","TreatmentSel:Generation",1.49455684070595e-08,4048,0.0476612980855654,1.32183413354389
566532,"X","TreatmentSel:Generation",5.99546398752651e-09,4049,0.0191194866925101,1.71852377155797
566536,"X","TreatmentSel:Generation",1.00318938950931e-09,4050,0.00319916293763006,2.4949636401561
566537,"X","TreatmentSel:Generation",2.64818751850995e-09,4051,0.0084450488110281,2.07339783593325
566584,"X","TreatmentSel:Generation",1.42701401896525e-11,4052,4.55073629036803e-05,4.34191833060134
567302,"X","TreatmentSel:Generation",1.30486658924951e-08,4062,0.0416120911418397,1.3807804589597
567514,"X","TreatmentSel:Generation",1.04747676737252e-12,4063,3.34039503133684e-06,5.47620217097732
567566,"X","TreatmentSel:Generation",1.33661092585004e-12,4064,4.26244154964836e-06,5.37034156338695
568279,"X","TreatmentSel:Generation",1.43081521827483e-13,4069,4.56285828455668e-07,6.34076301954441
568575,"X","TreatmentSel:Generation",1.13274839898147e-11,4078,3.61232558236471e-05,4.44221311321678
568992,"X","TreatmentSel:Generation",1.10674495988193e-16,4083,3.5294008231038e-10,9.45229901736198
569303,"X","TreatmentSel:Generation",3.92868215674209e-09,4091,0.0125285359683933,1.90209967585313
569471,"X","TreatmentSel:Generation",5.14574324613548e-10,4098,0.00164097340459801,2.78489845753918
569478,"X","TreatmentSel:Generation",4.59174682996998e-10,4099,0.00146430439067996,2.83436863540076
569529,"X","TreatmentSel:Generation",8.27260621788e-12,4100,2.63812750479696e-05,4.57870421815601
569657,"X","TreatmentSel:Generation",1.35776084538115e-09,4102,0.00432988847383373,2.3635232897488
570408,"X","TreatmentSel:Generation",2.90125185047925e-11,4126,9.25206894116352e-05,4.03376113977352
570997,"X","TreatmentSel:Generation",4.67632188366072e-09,4136,0.014912753076419,1.82644217307787
571729,"X","TreatmentSel:Generation",1.50695335884722e-09,4149,0.00480566220573692,2.318246759404
572239,"X","TreatmentSel:Generation",1.1496462378721e-08,4174,0.0366621265540422,1.43578234777804
572241,"X","TreatmentSel:Generation",5.59176568144327e-09,4175,0.0178320960239972,1.74879760589055
572448,"X","TreatmentSel:Generation",3.41606673684431e-13,4181,1.08938094952626e-06,5.96282022369109
573103,"X","TreatmentSel:Generation",8.20777255645795e-09,4189,0.0261745210203639,1.5821212569315
573149,"X","TreatmentSel:Generation",2.67247784039286e-10,4190,0.00085225104531901,3.06943245741969
573581,"X","TreatmentSel:Generation",1.81308208106352e-12,4211,5.78190425185491e-06,5.23792910450821
574222,"X","TreatmentSel:Generation",1.59936735504164e-09,4219,0.00510036970028893,2.29239834292633
574223,"X","TreatmentSel:Generation",1.3574640813586e-09,4220,0.00432894209573991,2.36361822330415
574433,"X","TreatmentSel:Generation",1.43782589590092e-11,4224,4.58521527942087e-05,4.33864026905182
574462,"X","TreatmentSel:Generation",1.36355270659156e-09,4225,0.00434835867289885,2.36167464047436
574464,"X","TreatmentSel:Generation",1.22136929685828e-09,4226,0.00389493691672668,2.40949957186545
574530,"X","TreatmentSel:Generation",1.87954664876044e-09,4227,0.00599385922652387,2.22229346123385
574768,"X","TreatmentSel:Generation",4.81235896205566e-11,4233,0.000153465742311238,3.81398855559817
574831,"X","TreatmentSel:Generation",7.88948420120009e-12,4234,2.51595020017535e-05,4.59929795941242
575949,"X","TreatmentSel:Generation",3.49361879875884e-11,4263,0.000111411224002916,3.95307105443174
575950,"X","TreatmentSel:Generation",2.15829316458647e-11,4264,6.88277963552095e-05,4.16223613493694
576436,"X","TreatmentSel:Generation",6.19139865946494e-11,4277,0.000197443207938444,3.7045578014341
576557,"X","TreatmentSel:Generation",1.35460312305856e-09,4281,0.00431981852260876,2.36453449769553
576670,"X","TreatmentSel:Generation",5.7650118005446e-14,4284,1.83845765118423e-07,6.73554636964001
576874,"X","TreatmentSel:Generation",7.05377640103309e-10,4287,0.00224944365126833,2.6479248814714
577571,"X","TreatmentSel:Generation",1.82072443616089e-10,4299,0.000580627566112158,3.23610234927216
577833,"X","TreatmentSel:Generation",5.38127111230108e-11,4301,0.000171608305269592,3.76546169757431
577889,"X","TreatmentSel:Generation",4.8273458278574e-16,4302,1.53943672262706e-09,8.81263815773752
578192,"X","TreatmentSel:Generation",2.42439031708942e-13,4306,7.73136132607562e-07,6.11174402945174
578193,"X","TreatmentSel:Generation",4.56468328099948e-13,4307,1.45567384656411e-06,5.8369359206993
578351,"X","TreatmentSel:Generation",2.04593850464304e-11,4312,6.52448152379862e-05,4.18545399438045
578361,"X","TreatmentSel:Generation",2.19247517830973e-13,4313,6.9917858038283e-07,6.15541188495608
578446,"X","TreatmentSel:Generation",1.57590065644506e-15,4316,5.02553458619803e-09,8.29881773381053
580312,"X","TreatmentSel:Generation",3.99326863186743e-12,4349,1.27345017208762e-05,4.89501804356315
580680,"X","TreatmentSel:Generation",1.15065857862437e-13,4353,3.66944100196447e-07,6.43540009058521
583702,"X","TreatmentSel:Generation",7.18454374643749e-12,4395,2.29114525310392e-05,4.63994737671116
583773,"X","TreatmentSel:Generation",3.92533982551691e-14,4396,1.25178773008548e-07,6.90246930967862
585205,"X","TreatmentSel:Generation",5.58957194386004e-16,4418,1.78251002123941e-09,8.74896801987344
585242,"X","TreatmentSel:Generation",7.90962023401208e-15,4419,2.52237156493026e-08,7.59819093809883
585668,"X","TreatmentSel:Generation",3.26787290594855e-11,4421,0.000104212205540867,3.98208141262368
585694,"X","TreatmentSel:Generation",1.71399883277183e-10,4423,0.00054659285657187,3.26233604840569
586212,"X","TreatmentSel:Generation",8.25898325955946e-12,4429,2.6337831542869e-05,4.57941998441347
586214,"X","TreatmentSel:Generation",1.05946946137253e-11,4430,3.3786396365613e-05,4.47125812731327
587152,"X","TreatmentSel:Generation",2.02852584633604e-15,4435,6.46895269575885e-09,8.18916602462795
587222,"X","TreatmentSel:Generation",1.41630690916793e-16,4436,4.51659140288125e-10,9.34518919646548
587503,"X","TreatmentSel:Generation",4.75963969194391e-16,4437,1.51784529004916e-09,8.81877249267115
587615,"X","TreatmentSel:Generation",1.32457957474219e-15,4438,4.22407366721626e-09,8.37426851637705
588050,"X","TreatmentSel:Generation",2.4385963542568e-10,4441,0.00077766642649541,3.10920665005159
588454,"X","TreatmentSel:Generation",1.09119211679135e-09,4466,0.00347980293091068,2.45844535043315
588457,"X","TreatmentSel:Generation",3.62439623204082e-09,4467,0.0115581705888083,1.93711090000362
588458,"X","TreatmentSel:Generation",1.84997921617894e-09,4468,0.0058995689205609,2.22917972094453
588459,"X","TreatmentSel:Generation",7.28821165461655e-10,4469,0.00232420486608789,2.6337255938849
588489,"X","TreatmentSel:Generation",9.2429325616216e-09,4470,0.0294756379955508,1.53053678589535
588505,"X","TreatmentSel:Generation",4.74663943409796e-09,4471,0.0151369951822229,1.81996032729931
588768,"X","TreatmentSel:Generation",1.38194038349687e-11,4475,4.40699682744844e-05,4.35585726213409
588953,"X","TreatmentSel:Generation",5.19638339292374e-12,4477,1.65712250689667e-05,4.78064538409572
589647,"X","TreatmentSel:Generation",5.62481670160804e-14,4505,1.79374954628944e-07,6.74623819577226
589655,"X","TreatmentSel:Generation",2.6271887159326e-14,4506,8.37808379759932e-08,7.0768553001394
590024,"X","TreatmentSel:Generation",2.18832803886197e-10,4511,0.00069785606093065,3.15623414527072
590254,"X","TreatmentSel:Generation",3.17065007891366e-16,4512,1.0111177736455e-09,8.99519825542246
590255,"X","TreatmentSel:Generation",6.59576728632271e-15,4513,2.10338491099448e-08,7.67708124589439
590256,"X","TreatmentSel:Generation",4.20052556088767e-15,4514,1.33954424094663e-08,7.87304293843374
590257,"X","TreatmentSel:Generation",9.76825985590489e-15,4515,3.11509025344018e-08,7.50652936601823
590279,"X","TreatmentSel:Generation",3.52274029042469e-16,4516,1.1233990604242e-09,8.94946594369003
590309,"X","TreatmentSel:Generation",5.32814720949868e-16,4517,1.69914188259136e-09,8.76977035494274
590589,"X","TreatmentSel:Generation",7.37669704254879e-11,4518,0.000235242278551118,3.6284846226836
590706,"X","TreatmentSel:Generation",2.73167599846564e-10,4519,0.000871129290569893,3.05991738343776
590767,"X","TreatmentSel:Generation",3.5507284290912e-11,4520,0.000113232445545444,3.9460291128796
591246,"X","TreatmentSel:Generation",2.18175116009103e-09,4522,0.00695758699552101,2.15754135467577
591275,"X","TreatmentSel:Generation",5.10829028273294e-15,4523,1.62902968453131e-08,7.78807100181139
592162,"X","TreatmentSel:Generation",2.8358272166056e-12,4528,9.04343030713752e-06,5.04366680394049
593625,"X","TreatmentSel:Generation",2.41473080446002e-13,4551,7.70055721757655e-07,6.11347784784531
593711,"X","TreatmentSel:Generation",3.69066903466329e-11,4552,0.00011769514026189,3.9292414691958
593839,"X","TreatmentSel:Generation",5.27928594249073e-16,4553,1.68356006363154e-09,8.77377138486638
593901,"X","TreatmentSel:Generation",1.59256622991652e-09,4554,0.00507868096667394,2.29424906788903
593968,"X","TreatmentSel:Generation",8.30642586184014e-11,4555,0.000264891256220013,3.57693237706733
594172,"X","TreatmentSel:Generation",1.33625086042939e-08,4557,0.0426129330390245,1.37045857237489
595234,"X","TreatmentSel:Generation",4.07903049194281e-11,4565,0.000130079956065617,3.88578961843254
595405,"X","TreatmentSel:Generation",7.7993552262683e-09,4567,0.0248720814217278,1.6042878692477
596121,"X","TreatmentSel:Generation",2.49112173835211e-09,4575,0.00794416729463098,2.0999516186957
596427,"X","TreatmentSel:Generation",6.4391265558604e-12,4580,2.05343230736264e-05,4.68751960935449
596849,"X","TreatmentSel:Generation",1.73333457077542e-15,4583,5.52759007952624e-09,8.25746417127798
597039,"X","TreatmentSel:Generation",6.8457605526295e-10,4585,0.0021831075636251,2.66092486569352
597523,"X","TreatmentSel:Generation",3.66483258508866e-11,4589,0.00011687121795187,3.9322924300164
597562,"X","TreatmentSel:Generation",2.54108167234724e-14,4590,8.10348912446196e-08,7.09132794640157
597759,"X","TreatmentSel:Generation",9.39488945172534e-16,4595,2.99602273024365e-09,8.52345489605203
598211,"X","TreatmentSel:Generation",1.39721948296836e-16,4597,4.45572175343022e-10,9.35108193738614
598517,"X","TreatmentSel:Generation",7.1136494407666e-09,4599,0.0226853711574092,1.64425411080854
598968,"X","TreatmentSel:Generation",3.82727126449306e-17,4602,1.22051374442982e-10,9.91345732554919
598972,"X","TreatmentSel:Generation",4.59031174889906e-16,4603,1.46384674447451e-09,8.83450438879199
599038,"X","TreatmentSel:Generation",1.45830598844574e-12,4604,4.65052613070554e-06,5.3324979110377
599039,"X","TreatmentSel:Generation",1.39600573716662e-12,4605,4.45185112777845e-06,5.35145936712829
599040,"X","TreatmentSel:Generation",3.05613340095432e-14,4606,9.74598496657611e-08,7.01117426286423
599041,"X","TreatmentSel:Generation",6.48251374355346e-13,4607,2.0672684468082e-06,5.68460312405121
599042,"X","TreatmentSel:Generation",6.84340406263874e-13,4608,2.18235608085224e-06,5.66107438695921
599091,"X","TreatmentSel:Generation",4.37489791665542e-14,4609,1.39515144570308e-07,6.85537864653863
599103,"X","TreatmentSel:Generation",6.6593742264957e-17,4610,2.1236691133301e-10,9.67291314928988
599203,"X","TreatmentSel:Generation",5.20803561300134e-15,4611,1.66083839055764e-08,7.7796726249259
599281,"X","TreatmentSel:Generation",2.30588211092086e-13,4612,7.35343960466973e-07,6.13350947018011
599696,"X","TreatmentSel:Generation",4.70942403463717e-10,4613,0.00150183155710657,2.82337877433677
599787,"X","TreatmentSel:Generation",1.23054572262417e-10,4614,0.000392420046508268,3.40624881509039
600517,"X","TreatmentSel:Generation",6.23101903651821e-14,4617,1.98706698593043e-07,6.70178749216065
600572,"X","TreatmentSel:Generation",1.18272416881943e-12,4619,3.77169791257181e-06,5.423463098585
600578,"X","TreatmentSel:Generation",2.46426845994518e-12,4620,7.8585324046175e-06,5.10465855168164
600696,"X","TreatmentSel:Generation",4.52313439401956e-10,4624,0.00144242393974532,2.84090707828994
600756,"X","TreatmentSel:Generation",3.56619846253924e-12,4626,1.13725783674499e-05,4.94414106180214
600788,"X","TreatmentSel:Generation",1.82236681361797e-10,4627,0.00058115131896932,3.23571077219312
601572,"X","TreatmentSel:Generation",1.2129410819656e-09,4642,0.00386805940685963,2.41250686450806
601573,"X","TreatmentSel:Generation",5.09046142174304e-10,4643,0.00162334407502472,2.78958941976261
601944,"X","TreatmentSel:Generation",8.18002636922622e-16,4647,2.60860386512515e-09,8.58359186656948
602144,"X","TreatmentSel:Generation",4.44157166274421e-13,4648,1.4164136499918e-06,5.84880989659371
602159,"X","TreatmentSel:Generation",2.23594945577777e-13,4649,7.13042492687965e-07,6.14688458825471
602160,"X","TreatmentSel:Generation",1.43203457005024e-13,4650,4.56674678761367e-07,6.3403930680494
602341,"X","TreatmentSel:Generation",6.09770539437446e-16,4652,1.9445533721017e-09,8.71118013228451
602415,"X","TreatmentSel:Generation",2.70576313001022e-13,4653,8.62865697549757e-07,6.06405679565444
603332,"X","TreatmentSel:Generation",6.36855199403645e-15,4670,2.03092613605663e-08,7.69230587141861
603367,"X","TreatmentSel:Generation",3.6697938941607e-13,4671,1.17029433701273e-06,5.93170489648958
603368,"X","TreatmentSel:Generation",8.73825097516222e-13,4672,2.78662124537845e-06,5.55492205612356
603369,"X","TreatmentSel:Generation",2.62565457512468e-13,4673,8.37319143483599e-07,6.07710897947814
603428,"X","TreatmentSel:Generation",9.59470475393291e-11,4674,0.00030597436702654,3.51431495497338
603457,"X","TreatmentSel:Generation",7.82294936961866e-10,4675,0.0024947322956119,2.60297605075252
603598,"X","TreatmentSel:Generation",6.36975984262993e-11,4676,0.000203131131800681,3.69222351168564
603610,"X","TreatmentSel:Generation",8.44124981088779e-12,4677,2.69190781169227e-05,4.56993981724111
603649,"X","TreatmentSel:Generation",1.73070561784552e-12,4678,5.51920636966442e-06,5.25812336684598
603808,"X","TreatmentSel:Generation",1.03388923073873e-09,4679,0.00329706448571196,2.48187255861512
604041,"X","TreatmentSel:Generation",2.83208098644786e-10,4681,0.000903148360913433,3.04424090191953
604235,"X","TreatmentSel:Generation",2.13614893525523e-11,4685,6.81216186533743e-05,4.16671504121624
604370,"X","TreatmentSel:Generation",1.06487060684534e-08,4689,0.0339586384626492,1.46904973067815
604371,"X","TreatmentSel:Generation",4.4176406782481e-09,4690,0.0140878207818078,1.85115618188228
604372,"X","TreatmentSel:Generation",1.06073572826163e-08,4691,0.0338267775154052,1.47073937300531
604720,"X","TreatmentSel:Generation",6.73361533472373e-10,4695,0.00214734454335113,2.66809826703504
604740,"X","TreatmentSel:Generation",1.06185567180765e-08,4696,0.0338624924254922,1.47028107910362
605960,"X","TreatmentSel:Generation",3.29820831887999e-14,4737,1.05179599432417e-07,6.97806848749311
606245,"X","TreatmentSel:Generation",5.68100251873146e-14,4740,1.81166715842145e-07,6.74192158841343
606736,"X","TreatmentSel:Generation",1.95550919422446e-11,4751,6.23610317630825e-05,4.20508670802286
607323,"X","TreatmentSel:Generation",2.38752557954762e-11,4757,7.61379997297272e-05,4.11839853700094
608883,"X","TreatmentSel:Generation",4.06017704546432e-20,4788,1.29478721165694e-13,12.8878015986842
609517,"X","TreatmentSel:Generation",9.00826503187483e-16,4820,2.87272851205286e-09,8.54170541518053
609640,"X","TreatmentSel:Generation",3.90078289854347e-13,4821,1.24395654571919e-06,5.90519479029149
609984,"X","TreatmentSel:Generation",2.95577814460512e-11,4823,9.42595285692056e-05,4.02567473665685
610067,"X","TreatmentSel:Generation",2.86539838940498e-12,4824,9.13773254062535e-06,5.03916155779601
610448,"X","TreatmentSel:Generation",2.46965801502157e-09,4833,0.00787571965263968,2.10370975158402
610542,"X","TreatmentSel:Generation",4.28361235751709e-13,4835,1.36604055392231e-06,5.86453640747495
610602,"X","TreatmentSel:Generation",7.80397214053883e-10,4836,0.00248868047244012,2.60403085990572
610711,"X","TreatmentSel:Generation",6.40813539648263e-11,4837,0.000204354925142999,3.68961489092693
610985,"X","TreatmentSel:Generation",7.6939207381528e-11,4858,0.000245358516826034,3.61019886229544
611001,"X","TreatmentSel:Generation",9.64455977147253e-16,4859,3.07564239547477e-09,8.51206416129595
611124,"X","TreatmentSel:Generation",2.02365956523783e-11,4860,6.45343416426692e-05,4.19020911611052
611326,"X","TreatmentSel:Generation",3.55931352572555e-17,4863,1.13506223590306e-10,9.94498032528296
611344,"X","TreatmentSel:Generation",1.43032832653498e-08,4864,0.0456130559069344,1.34091083065184
611729,"X","TreatmentSel:Generation",2.78548429172352e-14,4874,8.88288712243197e-08,7.05144585656901
611730,"X","TreatmentSel:Generation",2.34141058813515e-14,4875,7.4667396342783e-08,7.126868992286
611823,"X","TreatmentSel:Generation",2.51842816908219e-14,4878,8.03124728377776e-08,7.09521700186992
612328,"X","TreatmentSel:Generation",1.86111982594325e-14,4885,5.93509623597442e-08,7.22657223468516
612356,"X","TreatmentSel:Generation",2.31378829809901e-12,4887,7.37865237233137e-06,5.13202294992535
612446,"X","TreatmentSel:Generation",3.72131191561533e-10,4907,0.0011867233928402,2.92565049668331
612482,"X","TreatmentSel:Generation",6.55053758014031e-13,4908,2.08896119387668e-06,5.68006962772757
612757,"X","TreatmentSel:Generation",6.76607191891751e-13,4909,2.15769492208526e-06,5.66600996049702
612857,"X","TreatmentSel:Generation",1.56118872010666e-16,4910,4.97861833891037e-10,9.30289116548159
612864,"X","TreatmentSel:Generation",1.38511488254372e-14,4911,4.41712027951287e-08,7.35486077461132
612941,"X","TreatmentSel:Generation",6.38595104316031e-11,4912,0.000203647467890299,3.69112098547048
613573,"X","TreatmentSel:Generation",8.69425427532357e-15,4917,2.77259073299726e-08,7.55711423266473
613600,"X","TreatmentSel:Generation",1.22674992280858e-13,4923,3.91209568983718e-07,6.40759053091409
613957,"X","TreatmentSel:Generation",6.530746246586e-10,4925,0.00208264975343928,2.68138376074758
614031,"X","TreatmentSel:Generation",1.5628784578673e-09,4928,0.00498400689911115,2.30242136517637
614049,"X","TreatmentSel:Generation",8.62650159257253e-12,4929,2.75098445667011e-05,4.56051186340947
614262,"X","TreatmentSel:Generation",8.14060706340332e-11,4931,0.000259603308003367,3.58568977782523
614279,"X","TreatmentSel:Generation",2.34486752226398e-11,4932,7.47776376955966e-05,4.1262282587856
614707,"X","TreatmentSel:Generation",1.59333721918576e-14,4936,5.08113964528562e-08,7.29403886918268
614724,"X","TreatmentSel:Generation",8.22223235211131e-15,4937,2.62206331930242e-08,7.5813568248917
614783,"X","TreatmentSel:Generation",2.14206432903244e-17,4940,6.83102600876982e-11,10.1655140611088
615208,"X","TreatmentSel:Generation",4.81696505938906e-13,4956,1.53612630386712e-06,5.81357307413693
615313,"X","TreatmentSel:Generation",3.64408733195634e-09,4957,0.0116209653489101,1.93475779377951
615420,"X","TreatmentSel:Generation",5.14441142926603e-13,4962,1.64054868926379e-06,5.78501087581447
615543,"X","TreatmentSel:Generation",1.09643497639717e-09,4978,0.00349652236825075,2.4563636891092
615569,"X","TreatmentSel:Generation",4.55476225103244e-10,4983,0.00145251003804445,2.83788085759357
615579,"X","TreatmentSel:Generation",6.27695504573763e-10,4989,0.00200171594252169,2.6985975519057
615641,"X","TreatmentSel:Generation",6.26997079822466e-13,4992,1.9994886715772e-06,5.69908105208832
615915,"X","TreatmentSel:Generation",2.60123652392917e-09,4998,0.00829532246491792,2.0811667269377
615916,"X","TreatmentSel:Generation",1.95580698711682e-09,4999,0.00623705283545964,2.20502057692829
615918,"X","TreatmentSel:Generation",7.58135157625215e-10,5001,0.00241768695258555,2.61659993323792
615922,"X","TreatmentSel:Generation",1.26876446160395e-09,5005,0.0040460797179393,2.39296556478813
616018,"X","TreatmentSel:Generation",5.31839235458286e-11,5009,0.000169603106716259,3.7705661967882
616019,"X","TreatmentSel:Generation",1.00200979951897e-10,5010,0.000319540123458759,3.495474601347
616020,"X","TreatmentSel:Generation",6.33910759936084e-11,5011,0.000202153634215009,3.69431844673527
616021,"X","TreatmentSel:Generation",5.04409286044763e-11,5012,0.000160855717792246,3.79356349701575
616022,"X","TreatmentSel:Generation",2.90803562205061e-11,5013,9.27370233443441e-05,4.03274684811967
616023,"X","TreatmentSel:Generation",2.59472273183992e-11,5014,8.27455003405565e-05,4.08225561362958
616024,"X","TreatmentSel:Generation",2.33257423439352e-12,5015,7.43856057288706e-06,5.12851109613866
616124,"X","TreatmentSel:Generation",1.51035901613733e-09,5017,0.00481652281958983,2.31726637778445
616127,"X","TreatmentSel:Generation",2.34507175703526e-09,5018,0.00747841507261138,2.12619043397425
616493,"X","TreatmentSel:Generation",8.40084118956506e-14,5019,2.67902153467934e-07,6.57202379540455
617922,"X","TreatmentSel:Generation",7.20516790976154e-14,5030,2.29772228228863e-07,6.6387024641413
618085,"X","TreatmentSel:Generation",3.95891472575686e-11,5031,0.000126249473891208,3.89877042300432
618484,"X","TreatmentSel:Generation",7.11426519069625e-12,5034,2.26873347790088e-05,4.64421652036697
618616,"X","TreatmentSel:Generation",9.3187807702314e-11,5037,0.000297175173260218,3.52698747541772
619318,"X","TreatmentSel:Generation",1.46651926720179e-11,5047,4.67671821095237e-05,4.33005879710353
619418,"X","TreatmentSel:Generation",8.88939817047506e-10,5050,0.00283482196504596,2.54747421085433
619965,"X","TreatmentSel:Generation",6.19638818608975e-09,5075,0.0197602323543347,1.70420795298664
620098,"X","TreatmentSel:Generation",2.95118175524195e-09,5076,0.00941129500801252,2.02635061290244
620099,"X","TreatmentSel:Generation",1.08874694119553e-08,5077,0.03472005285497,1.45941962236063
620740,"X","TreatmentSel:Generation",2.65657964081803e-11,5090,8.47181122193156e-05,4.07202373021252
621197,"X","TreatmentSel:Generation",3.60724092276676e-14,5099,1.15034624447758e-07,6.93917142100867
622251,"X","TreatmentSel:Generation",1.16309142759752e-15,5118,3.70908925787709e-09,8.43073271540769
622991,"X","TreatmentSel:Generation",9.01423278428728e-12,5124,2.87463162352299e-05,4.54141780110358
622994,"X","TreatmentSel:Generation",4.58691579189239e-11,5125,0.000146276377650185,3.83482580295537
